chembl_id	max_phase
CHEMBL551466	4
CHEMBL1289494	4
CHEMBL614	4
CHEMBL3301622	4
CHEMBL429736	3
CHEMBL74355	3
CHEMBL46618	3
CHEMBL206834	2
CHEMBL1287853	4
CHEMBL3039513	2
CHEMBL1229517	4
CHEMBL1230609	2
CHEMBL514201	2
CHEMBL1501	4
CHEMBL189676	2
CHEMBL1817709	2
CHEMBL2364611	2
CHEMBL1980297	2
CHEMBL1614710	1
CHEMBL507361	2
CHEMBL2178578	2
CHEMBL3348923	1
CHEMBL3137331	2
CHEMBL1200633	4
CHEMBL460702	1
CHEMBL3137316	2
CHEMBL2107832	2
CHEMBL482767	1
CHEMBL589390	3
CHEMBL494089	1
CHEMBL1933349	2
CHEMBL2146883	4
CHEMBL75435	4
CHEMBL1336	4
CHEMBL535	4
CHEMBL566315	4
CHEMBL1770248	4
CHEMBL2104981	2
CHEMBL1095032	2
CHEMBL523299	4
CHEMBL506247	3
CHEMBL1269025	4
CHEMBL1738757	1
CHEMBL290352	2
CHEMBL110458	3
CHEMBL1808388	3
CHEMBL1721885	2
CHEMBL489095	2
CHEMBL1779046	2
CHEMBL2029988	1
CHEMBL2392545	1
CHEMBL1230607	1
CHEMBL384304	1
CHEMBL512351	4
CHEMBL2105728	3
CHEMBL483158	3
CHEMBL2037511	2
CHEMBL506981	2
CHEMBL241694	3
CHEMBL206815	2
CHEMBL18442	4
CHEMBL1410877	2
CHEMBL2028850	4
CHEMBL53	4
CHEMBL726	4
CHEMBL1231160	3
CHEMBL3039507	4
CHEMBL538867	3
CHEMBL4208229	3
CHEMBL3991932	1
CHEMBL2041933	1
CHEMBL4303241	1
CHEMBL482967	1
CHEMBL1090479	1
CHEMBL3353410	4
CHEMBL3545185	4
CHEMBL3545311	4
CHEMBL4594250	4
CHEMBL2386889	1
CHEMBL513909	2
CHEMBL3590106	2
CHEMBL3813873	4
CHEMBL17879	4
CHEMBL3989931	4
CHEMBL622	4
CHEMBL2103879	3
CHEMBL1171829	3
CHEMBL329123	2
CHEMBL1201207	2
CHEMBL300138	3
CHEMBL1967878	1
CHEMBL3916717	2
CHEMBL4175981	2
CHEMBL2408045	2
CHEMBL3545154	2
CHEMBL564829	2
CHEMBL2178573	2
CHEMBL1983268	4
CHEMBL3286830	4
CHEMBL3989908	4
CHEMBL3989926	3
CHEMBL3989929	3
CHEMBL2019090	2
CHEMBL1922235	3
CHEMBL25856	1
CHEMBL1851943	3
CHEMBL376756	3
CHEMBL267227	2
CHEMBL1938870	1
CHEMBL3911164	1
CHEMBL3747513	1
CHEMBL1933350	2
CHEMBL4081711	2
CHEMBL301829	2
CHEMBL3633802	1
CHEMBL1910856	2
CHEMBL609583	1
CHEMBL2263632	2
CHEMBL3353541	2
CHEMBL3188386	2
CHEMBL1086997	3
CHEMBL3936761	4
CHEMBL3617964	2
CHEMBL197194	2
CHEMBL4297625	2
CHEMBL4297626	2
CHEMBL4089083	2
CHEMBL377300	3
CHEMBL2103842	2
CHEMBL286738	2
CHEMBL301742	3
CHEMBL254857	4
CHEMBL1200600	4
CHEMBL325109	4
CHEMBL849	3
CHEMBL49429	3
CHEMBL436	4
CHEMBL467084	2
CHEMBL376180	2
CHEMBL1429	3
CHEMBL168815	0
CHEMBL3039525	1
CHEMBL1214827	1
CHEMBL2140408	1
CHEMBL2010872	2
CHEMBL598797	1
CHEMBL3622533	2
CHEMBL3545307	2
CHEMBL3544932	1
CHEMBL3545328	1
CHEMBL1231124	1
CHEMBL3545396	2
CHEMBL575448	2
CHEMBL1614713	1
CHEMBL402548	2
CHEMBL403989	2
CHEMBL225411	2
CHEMBL582857	2
CHEMBL3809489	2
CHEMBL3622821	4
CHEMBL2087361	3
CHEMBL334533	3
CHEMBL1256716	1
CHEMBL191482	1
CHEMBL3696475	1
CHEMBL3924151	2
CHEMBL3686884	2
CHEMBL1767164	2
CHEMBL4228124	2
CHEMBL4297463	1
CHEMBL200102	1
CHEMBL3670800	2
CHEMBL4073443	2
CHEMBL3904602	1
CHEMBL4297613	3
CHEMBL2387408	3
CHEMBL4298138	1
CHEMBL3986824	2
CHEMBL4250860	3
CHEMBL4112929	1
CHEMBL4592045	2
CHEMBL3355009	1
CHEMBL3673452	2
CHEMBL1088752	3
CHEMBL6437	4
CHEMBL3301607	4
CHEMBL3304485	4
CHEMBL3989915	4
CHEMBL2005186	2
CHEMBL4594350	3
CHEMBL3907479	2
CHEMBL3287735	1
CHEMBL4583691	2
CHEMBL3115681	1
CHEMBL4110551	2
CHEMBL4471306	1
CHEMBL3659477	2
CHEMBL1201190	4
CHEMBL1201010	4
CHEMBL608533	4
CHEMBL71	4
CHEMBL1766	4
CHEMBL2218896	4
CHEMBL1200545	4
CHEMBL83668	4
CHEMBL1023	4
CHEMBL728	4
CHEMBL3545059	4
CHEMBL231779	4
CHEMBL2107797	4
CHEMBL2142592	2
CHEMBL3545360	1
CHEMBL3545085	1
CHEMBL4535757	4
CHEMBL3977543	2
CHEMBL4227505	2
